MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2501", Thicko=0.205"			Time:	150.17505	Sec	11/9/2011 3:15:09 PM
Time	Axial Displacement	Axial Strain	Axial Force
Sec	in	in/in	lbf
3.170166	0.0085549094	0.00050354039	523.13586
3.2001953	0.0087175313	0.00052966771	528.26819
3.2302246	0.0086886678	0.00051615608	527.56348
3.2602539	0.0088639613	0.00051570532	529.94977
3.2902832	0.0089125372	0.0005303073	534.38165
3.3203125	0.0090538049	0.00052058965	536.91614
3.3503418	0.0091173984	0.00052429654	535.58093
3.3803711	0.0092218239	0.00052922836	540.74115
3.4104004	0.0093161594	0.00055048766	543.29181
3.4404297	0.0093262494	0.00050402002	543.6239
3.470459	0.0094942693	0.00054882013	550.42578
3.5004883	0.0095649026	0.00051478588	549.85876
3.5305176	0.0096859895	0.00052495475	550.6969
3.5605469	0.0097711729	0.00054225803	556.0022
3.5905762	0.0098411022	0.00054761779	557.10999
3.6206055	0.010008183	0.00054826203	559.39136
3.6506348	0.0099539757	0.00054903224	561.28186
3.6806641	0.010181834	0.00052871963	565.98224
3.7106934	0.010272884	0.00056250265	568.69263
3.7407227	0.010279454	0.00054090435	567.93024
3.770752	0.010389981	0.00056096551	572.59949
3.8007813	0.010469063	0.00053349778	573.99988
3.8308105	0.010615258	0.00056238321	578.37689
3.8608398	0.010667823	0.00056542933	578.38782
3.8908691	0.010746202	0.00054294791	579.16333
3.9208984	0.010889815	0.00053371501	581.36566
3.9509277	0.010917271	0.00055118871	586.42609
3.980957	0.011029206	0.00058433868	588.06342
4.0109863	0.011166249	0.00058347138	588.06274
4.0410156	0.011175402	0.00053928129	593.4173
4.0710449	0.011367356	0.00057945226	597.27448
4.1010742	0.011378386	0.00058754405	598.76703
4.1311035	0.011402322	0.00057758449	600.37976
4.1611328	0.011600378	0.00058878947	603.72906
4.1911621	0.011736483	0.00056013477	604.82581
4.2211914	0.011729913	0.00059230102	607.64124
4.2512207	0.011867191	0.00059284607	609.81964
4.28125	0.01194815	0.00058165344	612.83398
4.3112793	0.011952139	0.00060979498	614.83801
4.3413086	0.012048117	0.0006060343	616.16986
4.3713379	0.012219422	0.00059239415	619.24878
4.4013672	0.012271517	0.00062365679	621.75427
4.4313965	0.012413019	0.00062240649	624.96838
4.4614258	0.012372657	0.00061165297	626.86835
